Name,"Paleographic features"
"1001 Beth-1",ב:body:inclination:vertical
"1001 Beth-1",ב:head:shape:quarter-circle
"1001 Beth-1",ב:leg:angular
"1001 Beth-1","ב:additional:diamond-shaped head"
"1001 Beth-2",ב:body:inclination:vertical
"1001 Beth-2",ב:head:shape:quarter-circle
"1001 Beth-2",ב:leg:angular
"1001 Gimmel-1",ג:head:angle:right
"1001 Gimmel-1",ג:body:inclination:vertical
"1001 Gimmel-1",ג:head:length:short
"1001 He-1","ה:horizontal strokes:number:three"
"1001 He-1",ה:body:inclination:oblique
"1001 He-1",ה:shaft:length:short
"1001 He-1","ה:shaft:angle with strokes:right"
"1001 Het-1","ח:horizontal strokes:number:three"
"1001 Het-1","ח:vertical protrusions:upper left"
"1001 Het-1","ח:vertical protrusions:lower right"
"1001 Het-1",ח:body:inclination:vertical
"1001 Lamed-1",ל:body:inclination:oblique
"1001 Lamed-1",ל:foot:shape:curved
"1001 Lamed-1",ל:shaft:straight
"1001 Lamed-1","ל:additional:looping foot"
"1001 Nun-1",נ:body:inclination:oblique
"1001 Nun-1","נ:head:shape:crossed parallel strokes"
"1001 Nun-1",נ:tail:curved
"1001 Nun-1","נ:foot:with foot"
"1001 Nun-2",נ:body:inclination:vertical
"1001 Nun-2","נ:head:shape:crossed parallel strokes"
"1001 Nun-2",נ:tail:angular
"1001 Nun-2","נ:foot:with foot"
"1001 Shin-1",ש:body:inclination:vertical
"1001 Shin-1",ש:body:shape:w-shaped
"1001 Shin-1","ש:additional:lower protrusions"
"1001 Waw-1",ו:head:shape:u-shaped
"1001 Yod-1","י:horizontal strokes:parallel downward"
"1001 Yod-1",י:body:inclination:vertical
"1001 Yod-1",י:foot:direction:upward
"1001 Yod-1",י:foot:length:medium
"1001 Yod-2","י:horizontal strokes:parallel horizontal"
"1001 Yod-2",י:body:inclination:vertical
"1001 Yod-2",י:foot:direction:horizontal
"1001 Yod-2",י:foot:length:medium
"1002 Aleph-1",א:body:inclination:vertical
"1002 Aleph-1",א:head:shape:V-shaped
"1002 Aleph-2",א:body:inclination:oblique
"1002 Aleph-2",א:head:shape:V-shaped
"1002 Ayin-1",ע:body:shape:circle/oval
"1002 Lamed-1",ל:body:inclination:oblique
"1002 Lamed-1",ל:shaft:convex
"1002 Lamed-1",ל:foot:shape:curved
"1002 Lamed-2",ל:body:inclination:oblique
"1002 Lamed-2",ל:shaft:convex
"1002 Lamed-2",ל:foot:shape:curved
"1002 Mem-1",מ:body:inclination:vertical
"1002 Mem-1","מ:head:shape:uncrossed parallel strokes"
"1002 Mem-1",מ:tail:shape:angular
