Name,Paleographic features
1011,א:additional:curved lower crossbar
2005,א:additional:curved lower crossbar
2052,א:additional:curved lower crossbar
2092,א:additional:curved lower crossbar
2190,א:additional:curved lower crossbar
1007,א:additional:lower crossbar extending left of shaft
1026,א:additional:lower crossbar extending left of shaft
1032,א:additional:lower crossbar extending left of shaft
3009,א:additional:lower crossbar extending left of shaft
1041,א:additional:lower crossbar extending left of shaft
1041,א:additional:lower crossbar extending left of shaft
1065,א:additional:lower crossbar extending left of shaft
2066,א:additional:lower crossbar extending left of shaft
2076,א:additional:lower crossbar extending left of shaft
2163,א:additional:lower crossbar extending left of shaft
2165,א:additional:lower crossbar extending left of shaft
3015,א:additional:lower crossbar extending left of shaft
2029,א:additional:reversed letter
1002*,א:body:inclination:oblique
1003,א:body:inclination:oblique
1007,א:body:inclination:oblique
1007,א:body:inclination:oblique
1010,א:body:inclination:oblique
1010,א:body:inclination:oblique
1010,א:body:inclination:oblique
1024,א:body:inclination:oblique
1027,א:body:inclination:oblique
1029,א:body:inclination:oblique
1029,א:body:inclination:oblique
1035,א:body:inclination:oblique
1035,א:body:inclination:oblique
1041,א:body:inclination:oblique
1041,א:body:inclination:oblique
1042,א:body:inclination:oblique
1052,א:body:inclination:oblique
1065,א:body:inclination:oblique
1012*,א:body:inclination:oblique
1012*,א:body:inclination:oblique
1019*,א:body:inclination:oblique
2030,א:body:inclination:oblique
2034,א:body:inclination:oblique
2034,א:body:inclination:oblique
2035,א:body:inclination:oblique
2039,א:body:inclination:oblique
2039,א:body:inclination:oblique
2041,א:body:inclination:oblique
2044,א:body:inclination:oblique
2044,א:body:inclination:oblique
2047,א:body:inclination:oblique
2048,א:body:inclination:oblique
2063,א:body:inclination:oblique
2080,א:body:inclination:oblique
2082,א:body:inclination:oblique
2084,א:body:inclination:oblique
2086,א:body:inclination:oblique
2091,א:body:inclination:oblique
2092,א:body:inclination:oblique
2131,א:body:inclination:oblique
2147,א:body:inclination:oblique
2174,א:body:inclination:oblique
2176,א:body:inclination:oblique
2184,א:body:inclination:oblique
2190,א:body:inclination:oblique
3027,א:body:inclination:oblique
3028,א:body:inclination:oblique
3029,א:body:inclination:oblique
3035,א:body:inclination:oblique
3058,א:body:inclination:oblique
1002*,א:body:inclination:vertical
1006,א:body:inclination:vertical
1007,א:body:inclination:vertical
1009,א:body:inclination:vertical
1011,א:body:inclination:vertical
1014,א:body:inclination:vertical
1022,א:body:inclination:vertical
1026,א:body:inclination:vertical
1027,א:body:inclination:vertical
1028,א:body:inclination:vertical
1028,א:body:inclination:vertical
1032,א:body:inclination:vertical
3001,א:body:inclination:vertical
3006,א:body:inclination:vertical
3009,א:body:inclination:vertical
3009,א:body:inclination:vertical
1036,א:body:inclination:vertical
1036,א:body:inclination:vertical
1041,א:body:inclination:vertical
1044,א:body:inclination:vertical
1044,א:body:inclination:vertical
1046,א:body:inclination:vertical
1047,א:body:inclination:vertical
1050,א:body:inclination:vertical
1059,א:body:inclination:vertical
1063,א:body:inclination:vertical
1064,א:body:inclination:vertical
1065,א:body:inclination:vertical
2003,א:body:inclination:vertical
2005,א:body:inclination:vertical
2006,א:body:inclination:vertical
2010,א:body:inclination:vertical
2010,א:body:inclination:vertical
2029,א:body:inclination:vertical
2031,א:body:inclination:vertical
2032,א:body:inclination:vertical
2035,א:body:inclination:vertical
2047,א:body:inclination:vertical
2048,א:body:inclination:vertical
2051,א:body:inclination:vertical
2052,א:body:inclination:vertical
2055,א:body:inclination:vertical
2059,א:body:inclination:vertical
2060,א:body:inclination:vertical
2063,א:body:inclination:vertical
2063,א:body:inclination:vertical
2066,א:body:inclination:vertical
2069,א:body:inclination:vertical
2076,א:body:inclination:vertical
3011,א:body:inclination:vertical
2091,א:body:inclination:vertical
2136,א:body:inclination:vertical
2139,א:body:inclination:vertical
2151,א:body:inclination:vertical
2157,א:body:inclination:vertical
2160,א:body:inclination:vertical
2160,א:body:inclination:vertical
2164,א:body:inclination:vertical
2165,א:body:inclination:vertical
3015,א:body:inclination:vertical
2171,א:body:inclination:vertical
3016,א:body:inclination:vertical
3016,א:body:inclination:vertical
2182,א:body:inclination:vertical
2182,א:body:inclination:vertical
2187,א:body:inclination:vertical
2190,א:body:inclination:vertical
3023,א:body:inclination:vertical
3029,א:body:inclination:vertical
3033,א:body:inclination:vertical
3039,א:body:inclination:vertical
3040,א:body:inclination:vertical
3044,א:body:inclination:vertical
3050,א:body:inclination:vertical
3050,א:body:inclination:vertical
3060,א:body:inclination:vertical
1028,א:head:shape:noseless
1003,א:head:shape:parallel
1006,א:head:shape:parallel
1007,א:head:shape:parallel
1007,א:head:shape:parallel
1007,א:head:shape:parallel
1009,א:head:shape:parallel
1010,א:head:shape:parallel
1010,א:head:shape:parallel
1011,א:head:shape:parallel
1014,א:head:shape:parallel
1022,א:head:shape:parallel
1024,א:head:shape:parallel
1026,א:head:shape:parallel
1027,א:head:shape:parallel
1027,א:head:shape:parallel
1028,א:head:shape:parallel
1029,א:head:shape:parallel
1029,א:head:shape:parallel
1032,א:head:shape:parallel
3006,א:head:shape:parallel
3009,א:head:shape:parallel
1035,א:head:shape:parallel
1035,א:head:shape:parallel
1036,א:head:shape:parallel
1036,א:head:shape:parallel
1041,א:head:shape:parallel
1041,א:head:shape:parallel
1041,א:head:shape:parallel
1042,א:head:shape:parallel
1044,א:head:shape:parallel
1044,א:head:shape:parallel
1046,א:head:shape:parallel
1052,א:head:shape:parallel
1059,א:head:shape:parallel
1063,א:head:shape:parallel
1064,א:head:shape:parallel
1065,א:head:shape:parallel
2003,א:head:shape:parallel
2010,א:head:shape:parallel
2029,א:head:shape:parallel
2032,א:head:shape:parallel
2034,א:head:shape:parallel
2039,א:head:shape:parallel
2039,א:head:shape:parallel
2041,א:head:shape:parallel
2044,א:head:shape:parallel
2044,א:head:shape:parallel
2048,א:head:shape:parallel
2048,א:head:shape:parallel
2051,א:head:shape:parallel
2052,א:head:shape:parallel
2055,א:head:shape:parallel
2060,א:head:shape:parallel
2063,א:head:shape:parallel
2063,א:head:shape:parallel
2066,א:head:shape:parallel
2069,א:head:shape:parallel
2076,א:head:shape:parallel
2082,א:head:shape:parallel
2086,א:head:shape:parallel
2091,א:head:shape:parallel
2091,א:head:shape:parallel
2092,א:head:shape:parallel
2131,א:head:shape:parallel
2136,א:head:shape:parallel
2147,א:head:shape:parallel
2151,א:head:shape:parallel
2157,א:head:shape:parallel
